Ref,Val,Package,PosX,PosY,Rot,Side
"C152","0.47uF","C_0402_1005Metric",-9.875000,-11.550000,90.000000,bottom
"C153","0.1uF","C_0402_1005Metric",-57.950000,-39.300000,180.000000,bottom
"C154","0.1uF","C_0402_1005Metric",-47.850000,-14.150000,180.000000,bottom
"C155","0.1uF","C_0402_1005Metric",-51.325000,-10.125000,180.000000,bottom
"C156","0.1uF","C_0402_1005Metric",-10.950000,-38.900000,0.000000,bottom
"C157","0.1uF","C_0402_1005Metric",-12.900000,-20.225000,0.000000,bottom
"C158","0.1uF","C_0402_1005Metric",-22.300000,-6.525000,90.000000,bottom
"C159","1uF","C_0402_1005Metric",-5.875000,-20.500000,90.000000,bottom
"C160","1uF","C_0402_1005Metric",-5.000000,-29.850000,90.000000,bottom
"C161","1uF","C_0402_1005Metric",-17.575000,-13.875000,-90.000000,bottom
"C162","1uF","C_0402_1005Metric",-30.175000,-5.000000,0.000000,bottom
"C163","1uF","C_0402_1005Metric",-42.100000,-43.175000,180.000000,bottom
"C164","1uF","C_0402_1005Metric",-44.850000,-43.225000,180.000000,bottom
"C166","1uF","C_0402_1005Metric",-76.400000,-28.500000,180.000000,bottom
"C167","0.1uF","C_0402_1005Metric",-70.650000,-33.400000,180.000000,bottom
"FB1","100R","L_0603_1608Metric",-36.200000,-34.400000,-90.000000,bottom
"FB2","100R","L_0603_1608Metric",-32.400000,-37.400000,0.000000,bottom
"FB3","100R","L_0603_1608Metric",-25.800000,-36.200000,0.000000,bottom
"FB4","100R","L_0603_1608Metric",-22.300000,-37.300000,180.000000,bottom
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",-9.000000,-46.000000,0.000000,bottom
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",-8.000000,-3.000000,0.000000,bottom
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",-73.000000,-41.000000,0.000000,bottom
"G***","LOGO","logo_name",-37.825000,-11.775000,180.000000,bottom
"G***","LOGO","logo",-21.800000,-11.325000,180.000000,bottom
"J2","MicroSD","molex_microsd_1040310811",-65.000000,-4.000000,0.000000,bottom
"L3","2.2uH","L_0805_2012Metric",-54.042500,-29.255000,180.000000,bottom
"L6","2.2uH","L_0805_2012Metric",-14.170000,-18.740000,0.000000,bottom
"L10","2.2uH","L_0805_2012Metric",-38.750000,-35.900000,180.000000,bottom
"Q1","Q_NMOS_GSD","SOT-323_SC-70",-59.950000,-36.400000,0.000000,bottom
"Q2","Q_NMOS_GSD","SOT-323_SC-70",-53.050000,-36.400000,0.000000,bottom
"Q3","Q_NMOS_GSD","SOT-323_SC-70",-56.500000,-36.400000,0.000000,bottom
"Q4","Q_NMOS_GSD","Diodes_PowerDI3333-8",-75.000000,-31.000000,0.000000,bottom
"R6","5.1k","R_0402_1005Metric",-76.000000,-12.250000,0.000000,bottom
"R7","5.1k","R_0402_1005Metric",-76.000000,-15.250000,0.000000,bottom
"R8","1K5","R_0402_1005Metric",-53.450000,-18.000000,90.000000,bottom
"R9","1K5","R_0402_1005Metric",-53.450000,-16.050000,-90.000000,bottom
"R10","DNP","R_0402_1005Metric",-54.650000,-11.400000,-90.000000,bottom
"R11","DNP","R_0402_1005Metric",-56.450000,-15.345000,-90.000000,bottom
"R12","1K5","R_0402_1005Metric",-64.350000,-17.700000,-90.000000,bottom
"R13","1K5","R_0402_1005Metric",-65.400000,-17.700000,-90.000000,bottom
"R14","1K5","R_0402_1005Metric",-58.300000,-11.700000,-90.000000,bottom
"R15","1K5","R_0402_1005Metric",-57.000000,-11.700000,-90.000000,bottom
"R16","1K5","R_0402_1005Metric",-57.850000,-15.350000,-90.000000,bottom
"R17","1K5","R_0402_1005Metric",-56.050000,-11.700000,-90.000000,bottom
"R18","1K5","R_0402_1005Metric",-53.000000,-20.450000,180.000000,bottom
"R19","1K5","R_0402_1005Metric",-52.450000,-16.000000,-90.000000,bottom
"R20","DNP","R_0402_1005Metric",-53.450000,-18.950000,-90.000000,bottom
"R21","DNP","R_0402_1005Metric",-53.450000,-15.050000,90.000000,bottom
"R22","1K5","R_0402_1005Metric",-54.650000,-10.450000,90.000000,bottom
"R23","1K5","R_0402_1005Metric",-56.450000,-14.395000,90.000000,bottom
"R24","DNP","R_0402_1005Metric",-64.350000,-16.750000,90.000000,bottom
"R25","DNP","R_0402_1005Metric",-65.400000,-16.750000,90.000000,bottom
"R26","DNP","R_0402_1005Metric",-58.300000,-10.750000,90.000000,bottom
"R27","DNP","R_0402_1005Metric",-57.000000,-10.750000,90.000000,bottom
"R28","DNP","R_0402_1005Metric",-57.850000,-14.400000,90.000000,bottom
"R29","DNP","R_0402_1005Metric",-56.050000,-10.750000,90.000000,bottom
"R35","220R","R_0402_1005Metric",-46.300000,-2.300000,0.000000,bottom
"R36","220R","R_0402_1005Metric",-46.300000,-3.300000,0.000000,bottom
"R38","220R","R_0402_1005Metric",-46.300000,-1.250000,0.000000,bottom
"R39","220R","R_0402_1005Metric",-46.300000,-4.350000,0.000000,bottom
"R41","220R","R_0402_1005Metric",-46.300000,-5.400000,0.000000,bottom
