Ref,Val,Package,PosX,PosY,Rot,Side
"R2","84k5","R_0402_1005Metric",46.550000,-10.350000,90.000000,top
"R3","49k9","R_0402_1005Metric",23.000000,-39.200000,90.000000,top
"R4","8.06k","R_0402_1005Metric",70.300000,-7.750000,180.000000,top
"R5","20K","R_0402_1005Metric",70.300000,-8.700000,0.000000,top
"R30","12.1K","R_0402_1005Metric",55.100000,-25.050000,-90.000000,top
"R31","220R","R_0402_1005Metric",64.300000,-22.365000,-90.000000,top
"R32","220R","R_0402_1005Metric",66.550000,-21.300000,180.000000,top
"R33","10K","R_0402_1005Metric",39.100000,-35.950000,0.000000,top
"R34","10K","R_0402_1005Metric",41.200000,-35.950000,0.000000,top
"R37","10K","R_0402_1005Metric",58.000000,-37.300000,0.000000,top
"R40","10K","R_0402_1005Metric",58.550000,-38.800000,90.000000,top
"R43","10K","R_0402_1005Metric",57.450000,-38.800000,90.000000,top
"R45","4k7","R_0402_1005Metric",12.120000,-26.115000,-90.000000,top
"R52","51R","R_0402_1005Metric",12.000000,-33.700000,90.000000,top
"R53","10k","R_0402_1005Metric",58.300000,-9.750000,90.000000,top
"R61","210k","R_0402_1005Metric",55.365000,-35.985000,180.000000,top
"R62","47k","R_0402_1005Metric",57.315000,-35.985000,180.000000,top
"R63","100k","R_0402_1005Metric",68.450000,-18.150000,180.000000,top
"R64","100k","R_0402_1005Metric",70.400000,-18.150000,180.000000,top
"R75","34.0K","R_0402_1005Metric",10.400000,-40.600000,180.000000,top
"R76","10K","R_0402_1005Metric",17.400000,-39.100000,180.000000,top
"R77","34.0K","R_0402_1005Metric",12.400000,-40.600000,180.000000,top
"R78","53.6K","R_0402_1005Metric",14.400000,-39.600000,0.000000,top
"R79","13.0K","R_0402_1005Metric",12.400000,-39.600000,0.000000,top
"R80","34.0K","R_0402_1005Metric",10.850000,-13.500000,-90.000000,top
"R81","10K","R_0402_1005Metric",11.900000,-12.100000,90.000000,top
"R82","34.0K","R_0402_1005Metric",10.850000,-11.550000,-90.000000,top
"R83","53.6K","R_0402_1005Metric",10.850000,-7.650000,90.000000,top
"R84","13.0K","R_0402_1005Metric",10.850000,-9.600000,90.000000,top
"R85","34.0K","R_0402_1005Metric",55.900000,-39.300000,0.000000,top
"R86","10K","R_0402_1005Metric",53.400000,-38.200000,180.000000,top
"R87","34.0K","R_0402_1005Metric",53.900000,-39.300000,0.000000,top
"R88","53.6K","R_0402_1005Metric",49.915000,-39.300000,180.000000,top
"R89","13.0K","R_0402_1005Metric",51.900000,-39.300000,180.000000,top
"SW1","SW_Push","SW_SPST_PTS810",65.200000,-45.000000,90.000000,top
"SW2","SW_Push","SW_SPST_PTS810",70.000000,-45.000000,90.000000,top
"U1","USB3343","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",66.500000,-10.300000,0.000000,top
"U2","KSZ9031","QFN-48-1EP_7x7mm_Pitch0.5mm",58.800000,-19.000000,90.000000,top
"U3","PUSB3FR6","XSON7",60.200000,-7.100000,0.000000,top
"U4","ECP5UM5G_85_CABGA381","caBGA_381_17x17",27.600000,-22.900000,0.000000,top
"U5","W25Q128JVSIQ","SOIJ-8_5.3x5.3mm_P1.27mm",15.600000,-29.700000,90.000000,top
"U8","TLV62569DRL","SOT-563",55.815000,-34.235000,180.000000,top
"U9","TLV62569DRL","SOT-563",69.050000,-16.350000,180.000000,top
"U11","MT41K64M16TW-107_J-TR","BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm",44.300000,-18.900000,90.000000,top
"U12","MT41K64M16TW-107_J-TR","BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm",44.300000,-30.300000,90.000000,top
"U13","TLV62569DRL","SOT-563",14.500000,-37.800000,180.000000,top
"U14","TLV62569DRL","SOT-563",12.700000,-9.350000,90.000000,top
"U15","TLV62569DRL","SOT-563",50.500000,-37.550000,180.000000,top
"Y1","25MHz","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",53.300000,-22.350000,-90.000000,top
