"Source:","/home/greg/projects/ButterStick/hardware/ButterStick/ButterStick.sch"
"Date:","Thu 21 Mar 2019 17:45:17 ACDT"
"Tool:","Eeschema 5.1.0-060a0da~80~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","181"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","Mfg","PN","SN-DK","Tol"
"","","C50","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","C51","1uF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","1276-1002-1-ND",""
"","","C52","22uF","Device:C","pkl_dipol:C_0805","","","","CL21A226MOCLRNC","1276-1002-1-ND",""
"","","C53","22uF","Device:C","pkl_dipol:C_0805","","","","CL21A226MOCLRNC","1276-1002-1-ND",""
"","","C54","22uF","Device:C","pkl_dipol:C_0805","","","","CL21A226MOCLRNC","1276-1002-1-ND",""
"","","C55","10uF","Device:C","pkl_dipol:C_0603","~","","","CL10A106MP8NNNC","445-7486-1-ND",""
"","","C56","22uF","Device:C","pkl_dipol:C_0805","","","","CL21A226MOCLRNC","1276-1002-1-ND",""
"","","C57","10pF","Device:C","pkl_dipol:C_0402","","","","CL05C100JB5NNNC","1276-1002-1-ND",""
"","","C58","10nF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05B103KB5NNNC","1276-1002-1-ND",""
"","","C59","10nF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05B103KB5NNNC","1276-1002-1-ND",""
"","","C60","10pF","Device:C","pkl_dipol:C_0402","","","","CL05C100JB5NNNC","1276-1002-1-ND",""
"","","C61","10nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B103KB5NNNC","",""
"","","C62","10nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B103KB5NNNC","",""
"","","C63","10nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B103KB5NNNC","",""
"","","C64","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C65","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C66","100nF","Device:C","pkl_dipol:C_0402","","","","CL05B104KP5NNNC","1276-1002-1-ND",""
"","","C67","10uF","Device:C","pkl_dipol:C_0805","","","","CL21A106KAFN3NE","",""
"","","C68","100n","Device:C","pkl_dipol:C_0603","","","","CL10B104KB8NNNC","",""
"","","C69","10uF","Device:C","pkl_dipol:C_0805","","","","CL21A106KAFN3NE","",""
"","","C70","10uF","Device:C","pkl_dipol:C_0805","","","","CL21A106KAFN3NE","",""
"","","C71","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","",""
"","","CON1","JD1_0001NL","gkl_misc:JD1_0001NL","gkl_conn:MAGJACK","","","","JD1-0001NL","553-2361-ND",""
"","","D1","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D2","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D3","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D4","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D5","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D6","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D7","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D8","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","D9","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"","","FB1","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","","Samsung Electro-Mechanics","CIM05U601NC","",""
"","","FB2","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","","Samsung Electro-Mechanics","CIM05U601NC","",""
"","","J1","SYZYGY-STD","gkl_misc:SYZYGY-STD","gkl_conn:SYZYGY_standard_carrier","","","Samtec Inc.","QSE-020-01-F-D-A","",""
"","","J2","JST GH Series","Connector:Conn_01x06_Male","Connectors_JST:JST_GH_BM06B-GHS-TBT_06x1.25mm_Straight","~","",""," BM06B-GHS-TBT(LF)(SN)(N) "," 455-1582-1-ND ",""
"","","J3","SYZYGY-STD","gkl_misc:SYZYGY-STD","gkl_conn:SYZYGY_standard_carrier","","","Samtec Inc.","QSE-020-01-F-D-A","",""
"","","J4","MicroSD","Connector:Conn_01x11_Male","gkl_conn:molex_microsd_1040310811","~","","","1040310811"," WM6357CT-ND",""
"","","J5","SYZYGY-STD","gkl_misc:SYZYGY-STD","gkl_conn:SYZYGY_standard_carrier","","","Samtec Inc.","QSE-020-01-F-D-A","",""
"","","J6","JST_PA","Connector:Conn_01x02_Male","gkl_conn:SB02B-PASK-2","~","","JST Sales America Inc.","S02B-PASK-2(LF)(SN)","",""
"","","J7","TagConnect","Connector_Generic:Conn_02x03_Odd_Even","pkl_tag_connect:TC2030-NL_SMALL","~","","","","",""
"","","L1","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","","Samsung Electro-Mechanics","CIM05U601NC","490-1006-1-ND",""
"","","L2","2.2uH","Device:L_Small","Inductor_SMD:L_Taiyo-Yuden_MD-5050","~","Taiyo Yuden","","NR5040T2R2N","",""
"","","L3","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0603","~","","","742792651","732-1593-1-ND",""
"","","L4","2.2uH","Device:L_Small","Inductor_SMD:L_Taiyo-Yuden_MD-5050","~","Taiyo Yuden","","NR5040T2R2N","",""
"","","R1","42k2","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE42K2","","0.5%"
